formula,d33,tc,filler_wt_pct,matrix_type,particle_morphology,particle_size_nm,surface_treatment,fabrication_method,vickers_hardness,qm,kp,relative_density_pct,sintering_temp_c,sintering_method,ceramic_type,source_doi,source_notes
Pb(ZrTi)O3,-,-,0,none,none,-,none,conventional,254,-,-,-,-,conventional,soft,https://www.researchgate.net/figure/ckers-hardness-and-fracture-toughness-of-PZT-ZnO-ceramics_fig4_232975761,Pure PZT Baseline for Hardness
Pb(ZrTi)O3-0.001ZnO,-,-,0,none,none,-,none,conventional,360,-,-,99,-,conventional,hard,https://www.researchgate.net/figure/ckers-hardness-and-fracture-toughness-of-PZT-ZnO-ceramics_fig4_232975761,0.1 wt percent ZnO doped PZT Hardness and Density
0.2Pb((Zn0.8Ni0.2)0.333Nb0.667)O3-0.8Pb(Zr0.5Ti0.5)O3,500,-,0,none,none,-,none,conventional,-,-,0.63,-,875,conventional,soft,https://www.mdpi.com/1996-1944/14/19/5795,Li2CO3 added low temp sintered PZT Relaxor
Pb(ZrTi)O3-0.01La,372,-,0,none,none,-,none,conventional,-,-,0.510,90,-,conventional,soft,https://www.researchgate.net/publication/331744165,La-doped PZT
Pb(ZrTi)O3-0.002Li2CO3,701,226,0,none,none,-,none,conventional,-,71,0.667,-,980,conventional,soft,https://pdfs.semanticscholar.org/acee/f92132a94e9a4f29a207bc8760f043846ccc.pdf,0.2wt percent Li2CO3 modified soft PZT
BaTiO3,190,-,0,none,none,-,none,conventional,160,-,0.50,-,-,conventional,soft,https://research.aalto.fi/files/176019015/s10999-024-09731-7-1.pdf,Bulk BaTiO3 properties
PbTiZrO5,270,-,0,none,none,-,none,conventional,-,-,0.21,-,-,conventional,soft,https://research.aalto.fi/files/176019015/s10999-024-09731-7-1.pdf,Bulk PbTiZrO5 variant
0.8BaTiO3-0.2(Bi0.5K0.5)TiO3-0.001MnCO3,-,200,0,none,none,-,none,conventional,-,-,0.35,-,-,conventional,hard,http://web1.see.asso.fr/electroceramics/html/cdrom/pdf/Papers/C07-01-Inv.pdf,BTBK-20 Mn doped piezoelectric ceramic
Sr0.92Gd0.053Bi4Ti4O15-0.002Cr2O3,28,555,0,none,none,-,none,conventional,-,-,0.0635,-,-,conventional,hard,https://mdpi-res.com/bookfiles/book/6747/Microstructural_Design_and_Processing_Control_of_Advanced_Ceramics.pdf,Cr2O3 modified SBT high temperature piezoelectric
(KNa)NbO3,180,212,0,none,none,-,none,conventional,-,100,-,-,-,conventional,soft,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS LF22 KNN soft piezoceramic commercial grade
(KNa)NbO3,300,150,0,none,none,-,none,conventional,-,50,-,-,-,conventional,soft,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS LF41 KNN soft piezoceramic high sensitivity
(KNa)NbO3,270,250,0,none,none,-,none,conventional,-,200,-,-,-,conventional,soft,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz62 KNN soft piezoceramic high curie temp
(KNa)NbO3,120,290,0,none,none,-,none,conventional,-,725,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS LF51 KNN hard piezoceramic actuator
(KNa)NbO3,110,230,0,none,none,-,none,conventional,-,910,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS LF52 KNN hardest piezoceramic
(Bi0.5Na0.5)TiO3-BaTiO3,107,340,0,none,none,-,none,conventional,-,170,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz12 NBT-BT piezoceramic
(Bi0.5Na0.5)TiO3-BaTiO3,152,333,0,none,none,-,none,conventional,-,200,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz12X NBT-BT piezoceramic enhanced d33
Bi4Ti3O12,18.6,650,0,none,none,-,none,conventional,-,1000,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz46 Bismuth Titanate extreme high temperature
Bi4Ti3O12,20.1,770,0,none,none,-,none,conventional,-,2000,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz48 Bismuth Titanate hardest formulation
(Bi0.5Na0.5)TiO3,100,190,0,none,none,-,none,conventional,-,100,0.14,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC700 BNT lead free
(Bi0.5Na0.5)TiO3,71,230,0,none,none,-,none,conventional,-,100,0.13,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC701 BNT lead free
(KNa)NbO3,241,300,0,none,none,-,none,conventional,-,200,0.53,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC753 KNN lead free
(KNa)NbO3,170,290,0,none,none,-,none,conventional,-,585,0.43,-,-,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC758 KNN lead free hard
0.852(Bi0.5Na0.5)TiO3-0.028BaTiO3-0.12(Bi0.5K0.5)TiO3,191,301,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,http://web1.see.asso.fr/electroceramics/html/cdrom/pdf/Papers/C07-01-Inv.pdf,BNBK ternary system
(K0.5Na0.5)NbO3-0.005Ho-0.04(Cu0.333Nb0.667),120,392,0,none,none,-,none,conventional,-,850,-,-,1180,conventional,hard,https://pubs.acs.org/doi/10.1021/acs.inorgchem.3c02046,KNN-5Ho-4CN Donor-Acceptor Codoping highly stable
0.95(K0.5Na0.5)NbO3-0.05LiTaO3,292,-,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://pdfs.semanticscholar.org/e124/109810aafe436bef487707458791618968c7.pdf,KNN with LiTaO3 solid solution
0.96K0.5Na0.5NbO3-0.04CaZrO3-0.03ZrO2,360,-,0,none,none,-,none,conventional,-,-,-,-,1080,conventional,soft,https://pdfs.semanticscholar.org/e124/109810aafe436bef487707458791618968c7.pdf,KNN-CaZrO3 co-fired with Ni electrodes
0.96(0.95(K0.52Na0.48NbO3)-0.05LiSbO3)-0.04SrZrO3-0.01CuO-0.03NaNbO3,323,-,0,none,none,-,none,conventional,-,-,0.39,-,-,conventional,soft,https://www.researchgate.net/figure/d33-kp-and-Qm-of-of-KNN-xLN-BA-ceramics_fig2_314977944,KNNLS-SZ-C with NN seeds for templating
0.935(K0.4Na0.6)NbO3-0.02CaZrO3-0.045Bi0.5Na0.5HfO3,320,-,0,none,none,-,none,conventional,-,-,0.40,-,-,conventional,soft,https://www.researchgate.net/figure/d33-kp-and-Qm-of-of-KNN-xLN-BA-ceramics_fig2_314977944,KNN-CZ-BNH phase boundary engineering
0.965(K0.48Na0.52Nb0.96Sb0.04O3)-0.035(Bi0.5Li0.45Ag0.05)(Zr0.98Hf0.02)O3,343,270,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://www.researchgate.net/figure/d33-kp-and-Qm-of-of-KNN-xLN-BA-ceramics_fig2_314977944,R-T phase coexistence optimized KNN
0.96Bi0.5Na0.5TiO3-0.04Ba(Sc0.5Nb0.5)O3,110,266,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://m08.iphy.ac.cn/pdfs/Li-2025-Enhanced_piezoelectric_performance_in_lead-free_piezoceramics.pdf,BSN substituted BNT solid solution
(Bi0.5Na0.5)TiO3-BaTiO3-BiFeO3,132,-,0,none,none,-,none,conventional,-,124,-,-,-,conventional,soft,https://www.mdpi.com/2571-6131/8/2/70,BNT-BT-BF properties peak
(KNa)NbO3-BaZrO3-0.01Al2O3,480,-,0,none,none,-,none,conventional,-,-,0.62,-,-,conventional,soft,https://www.researchgate.net/publication/373601309,KNNS-BNZ with 1 mol percent Al2O3 exceptional d33
0.95(K0.42Na0.58)NbO3-0.05LiSbO3,270,364,0,none,none,-,none,conventional,-,-,0.472,-,-,conventional,soft,https://pubs.acs.org/doi/10.1021/am402548x,KNN-LS MPB engineered high temperature stability
(K0.47Na0.47Li0.06)0.985Bi0.005NbO3,185,455,0,none,none,-,none,conventional,-,10,-,-,-,conventional,soft,https://www.worldscientific.com/doi/pdf/10.1142/S2010135X11000409,Li/Bi co-doped KNN high Curie temperature
0.97Na0.5K0.5NbO3-0.03Bi0.5Na0.5TiO3,195,375,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://www.worldscientific.com/doi/pdf/10.1142/S2010135X11000409,KNN-BNT system properties
0.94K0.5Na0.5NbO3-0.06BaTiO3-0.01CuO,193,314,0,none,none,-,none,conventional,-,30,-,-,-,conventional,soft,https://www.worldscientific.com/doi/pdf/10.1142/S2010135X11000409,CuO doped KNN-BT
SMZTN-0.08,-,-,0,none,none,-,none,conventional,734,-,-,-,-,conventional,hard,https://pubs.acs.org/doi/10.1021/acsami.3c18262,Ultra-high hardness SMZTN ceramic for extreme conditions
(KNa)NbO3-BAH,-,-,0,none,none,-,none,conventional,-,27.2,-,-,1080,conventional,soft,https://qmro.qmul.ac.uk/xmlui/bitstream/handle/123456789/107078/Viola%20Lead-free%20Piezoelectric%20Ceramics%20with%20Ultralow%20Mechanical%20Quality%20Factor%202025%20Published.pdf?sequence=2,KNN-BAH-1080 ultralow Qm
BaTiO3,-,-,26.62,pvdf,-,-,untreated,solvent_cast,-,-,-,-,-,-,composite,https://www.researchgate.net/figure/Piezoelectric-coefficient-d33-of-PZT-BCZT-and-KNN-poled-by-corona-discharge-Stated_tbl2_342496787,PVDF/BTO/MWCNT Phase Immersion DIW high beta phase
(Ba0.85Ca0.15)(Zr0.1Ti0.9)O3,-,-,5,p_vdf_trfe,-,-,untreated,solvent_cast,-,-,-,-,-,-,composite,https://www.researchgate.net/figure/Surface-Morphology-of-a-pure-PVDF-TrFE-b-PVDF-TrFE-with-5-wt-of-BCZT-and-Particle_fig3_400674306,PVDF-TrFE with 5wt percent BCZT filler
BN,25,-,5,pvdf,platelet,-,untreated,solvent_cast,-,-,-,-,-,-,composite,https://www.researchgate.net/figure/d33-of-PVDF-based-composite-films_fig3_353964955,Yb-doped PVDF with BN nanosheets
ZnO-0.01Fe,-,-,10,pvdf_hfp,-,-,untreated,solvent_cast,-,-,-,-,-,-,composite,https://www.researchgate.net/publication/399984474,PVDF-HFP with Fe-doped ZnO nanoparticles
BaTiO3,-,-,15,pvdf,fiber,150,untreated,electrospinning,-,-,-,-,-,-,composite,https://www.mdpi.com/2073-4360/17/22/3043,Electrospun PVDF BTO fibers 150nm sizing
0.70Bi1.03FeO3-0.30BaTiO3,251,560,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://doi.org/10.1371/journal.pone.0298811,PLOS ONE 2025 - Pure BF30BT ceramic
0.70Bi1.03FeO3-0.30BaTiO3-0.01Si,209,560,0,none,none,-,none,conventional,-,32.6,0.32,-,-,conventional,soft,https://doi.org/10.1371/journal.pone.0298811,PLOS ONE 2025 - Si-doped BF30BT
0.67Bi1.03FeO3-0.33BaTiO3-0.01Nb,382,473,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://doi.org/10.1016/j.jallcom.2023.168999,J ALLOY COMPD 2023 - Nb-modified quenched ceramics
0.75BiFeO3-0.25BaTiO3,-,607,0,none,none,-,none,conventional,-,403,-,-,-,conventional,hard,https://doi.org/10.1111/jace.17888,J AM CERAM SOC 2021 - BF-BT R-phase rich hard properties
0.70BiFeO3-0.30BaTiO3,301,510,0,none,none,-,none,conventional,-,-,0.33,-,-,conventional,soft,https://doi.org/10.1111/jace.17888,J AM CERAM SOC 2021 - BF-BT soft properties
BiFeO3-BaTiO3-0.06PbTiO3,171,526,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://doi.org/10.1016/j.ceramint.2020.08.111,CERAM INT 2020 - BFBT-6PT
BiFeO3-BaTiO3-0.003Li2CO3,163,508,0,none,none,-,none,conventional,-,38.33,0.294,-,930,conventional,soft,https://doi.org/10.1016/j.jallcom.2017.11.156,J Alloys Compd 2018 - Li2CO3 doped BF-BT
Ba0.93Ca0.07Ti0.95Zr0.05O3,387,108,0,none,none,-,none,conventional,-,140,0.442,-,1450,conventional,soft,https://www.researchgate.net/publication/251609028,High Piezoelectric d33 Coefficient 2013
(KNa)NbO3-BaCuO-0.035BiNaHfO3,272,333,0,none,none,-,none,conventional,-,-,0.47,-,-,conventional,soft,https://www.researchgate.net/figure/a-piezoelectric-properties-d33-kp-and-Qm-and-bd33-and-relative-density-of_fig2_310541910,KNN-BC-xBNH optimal electrical properties
(KNa)NbO3-0.01KCN,90,290,0,none,none,-,none,conventional,-,1500,0.36,-,-,conventional,hard,https://doi.org/10.3390/s140814530,Sensors 2014 - Acceptor doped KNN
BaTiO3-CaTiO3-0.01Co,150,-,0,none,none,-,none,conventional,-,800,0.31,-,-,conventional,hard,https://doi.org/10.3390/s140814530,Sensors 2014 - Co doped BTO
0.23Pb(In0.5Nb0.5)O3-0.28Pb(Zn0.333Nb0.667)O3-0.13PbZrO3-0.27PbTiO3-0.01Sm2O3,580,249,0,none,none,-,none,conventional,-,-,0.532,-,-,conventional,soft,https://doi.org/10.1080/21870764.2026.2620321,J Adv Ceram 2026 - 1Sm-27PT ceramic
Pb(ZrTi)O3,800,150,0,none,none,-,none,conventional,-,120,-,-,-,conventional,soft,https://www.trstechnologies.com/Portals/0/HK1.pdf,TRS Technologies TRSHK1 HD soft piezoelectric
Pb(ZrTi)O3,225,300,0,none,none,-,none,conventional,-,1000,-,-,-,conventional,hard,https://doi.org/10.3390/s140814530,Sensors 2014 - PZT8 properties
BiScO3-PbTiO3-0.01Mn,360,442,0,none,none,-,none,conventional,-,100,-,-,-,conventional,soft,https://doi.org/10.3390/s140814530,Sensors 2014 - High Tc relaxor
PbZr0.95Ti0.05O3-0.02Nb,68,227,0,none,none,-,none,conventional,-,-,0.18,-,-,conventional,hard,https://www.rsc.org/suppdata/d1/ta/d1ta02290c/d1ta02290c1.pdf,TRS Technologies PZT 95/5
Pb(Mg0.333Nb0.667)O3-PbTiO3,2450,160,0,none,none,-,none,conventional,-,-,0.92,-,-,conventional,soft,http://ndl.ethernet.edu.et/bitstream/123456789/65905/1/16.pdf,TRS-X2C single crystal
0.7Pb(Mg0.333Nb0.667)O3-0.3PbTiO3,1500,130,0,none,none,-,none,conventional,-,-,0.90,-,-,conventional,soft,http://ndl.ethernet.edu.et/bitstream/123456789/65905/1/16.pdf,Ceracomp 70PMN-30PT
