formula,d33,tc,filler_wt_pct,matrix_type,particle_morphology,particle_size_nm,surface_treatment,fabrication_method,vickers_hardness,qm,kp,relative_density_pct,sintering_temp_c,sintering_method,ceramic_type,source_doi,source_notes
0.96K0.46Na0.54Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,388.0,,0,none,none,,none,conventional,,,,,1070,conventional,soft,https://www.sciencedirect.com/science/article/pii/S0272884224010745,Ceram. Int. 2024 - sintering temp study TS=1070C
0.96K0.46Na0.54Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,465.0,,0,none,none,,none,conventional,,,,,1105,conventional,soft,https://www.sciencedirect.com/science/article/pii/S0272884224010745,Ceram. Int. 2024 - sintering temp study TS=1105C (optimal)
K0.5Na0.5NbO3 + CuO acceptor doped,100.0,188,0,none,none,,none,conventional,,1500,,95,1130,conventional,hard,https://pmc.ncbi.nlm.nih.gov/articles/PMC2868336/,PMC 2010 - KNN-KCN Qm>1500 low dielectric loss 0.6%
K0.5Na0.5NbO3-KCN (0.5mol%),80.0,188,0,none,none,,none,conventional,,1500,,95,1160,conventional,hard,https://pmc.ncbi.nlm.nih.gov/articles/PMC2868336/,PMC 2010 - acceptor doped hard ceramic benchmark
KNNT-BNZ-CuO (O-T boundary),260.0,293,0,none,none,,none,conventional,,210,,,1090,conventional,hard,https://pubs.acs.org/doi/10.1021/acsami.2c18015,ACS AMI 2022 - CuO + phase boundary engineering
K0.5Na0.5NbO3 + Ho + CuNb codoped,120.0,392,0,none,none,,none,conventional,,850,,,1090,conventional,hard,https://pubs.acs.org/doi/abs/10.1021/acs.inorgchem.3c02046,ACS InorgChem 2023 - d33=120 Qm=850 Tc=392
KNN-CuO textured (RTGG 001),134.0,415,0,none,none,,none,rtgg,,582,0.58,,1100,rtgg,hard,https://pubs.acs.org/doi/10.1021/acsami.3c16488,ACS AMI 2024 - textured+doped Qm=582 kp=0.58
KNN hierarchical domain multivalent acceptor,132.0,,0,none,none,,none,conventional,,948,,,1090,conventional,hard,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202425699,Adv. Funct. Mat. 2025 - highest Qm=948
KNN-BNH-CuO-Fe2O3 (R-O-T),340.0,305,0,none,none,,none,conventional,,211,,,1090,conventional,hard,https://www.sciencedirect.com/science/article/abs/pii/S0955221924003753,J. Eur. Ceram. Soc. 2024 - hard + high d33 combo
KNNS-BNZ sintered at 1060C,310.0,,0,none,none,,none,conventional,,,,,1060,conventional,soft,https://chalcogen.ro/813_ZhaoHW.pdf,Chalcogen 2024 - sintering temp effect KNNS-BNZ
KNNS-BNZ sintered at 1080C,420.0,,0,none,none,,none,conventional,,,,,1080,conventional,soft,https://chalcogen.ro/813_ZhaoHW.pdf,Chalcogen 2024 - optimal sintering temp
KNNS-BNZ sintered at 1100C,380.0,,0,none,none,,none,conventional,,,,,1100,conventional,soft,https://chalcogen.ro/813_ZhaoHW.pdf,Chalcogen 2024 - over-sintered grain coarsening
