formula,d33,tc,filler_wt_pct,matrix_type,particle_morphology,particle_size_nm,surface_treatment,fabrication_method,vickers_hardness,qm,kp,relative_density_pct,sintering_temp_c,sintering_method,ceramic_type,source_doi,source_notes
(K0.5Na0.5)NbO3-0.015MnO2,110,230,0,none,none,-,none,conventional,5.2,910,0.45,4.60,1150,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS LF52 KNN hardest piezoceramic💡
(Bi0.5Na0.5)TiO3-BaTiO3,107,340,0,none,none,-,none,conventional,-,170,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz12 NBT-BT piezoceramic
(Bi0.5Na0.5)TiO3-BaTiO3,152,333,0,none,none,-,none,conventional,-,200,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz12X NBT-BT piezoceramic enhanced d33
Bi4Ti3O12,18.6,650,0,none,none,-,none,conventional,-,1000,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz46 Bismuth Titanate extreme high temperature
Bi4Ti3O12,20.1,770,0,none,none,-,none,conventional,-,2000,-,-,-,conventional,hard,https://www.sensor-test.de/assets/Fairs/2025/ProductNews/PDFs/CTS-Lead-Free-Piezoceramics.pdf,CTS Pz48 Bismuth Titanate hardest formulation
(Bi0.5Na0.5)TiO3,100,190,0,none,none,-,none,conventional,-,100,0.14,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC700 BNT lead free
(Bi0.5Na0.5)TiO3,71,230,0,none,none,-,none,conventional,-,100,0.13,-,-,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC701 BNT lead free
(K0.5Na0.5)NbO3,241,300,0,none,none,-,none,conventional,4.2,200,0.53,4.40,1100,conventional,soft,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC753 KNN lead free
(K0.5Na0.5)NbO3-0.01CuO,170,290,0,none,none,-,none,conventional,5.1,585,0.43,4.52,1080,conventional,hard,https://www.pi-usa.us/fileadmin/user_upload/pi_us/files/technotes_whitepapers/Piezo_Ceramics_Material_Data.pdf,PI Ceramic PIC758 KNN lead free hard
0.852(Bi0.5Na0.5)TiO3-0.028BaTiO3-0.12(Bi0.5K0.5)TiO3,191,301,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,http://web1.see.asso.fr/electroceramics/html/cdrom/pdf/Papers/C07-01-Inv.pdf,BNBK ternary system
(K0.5Na0.5)NbO3-0.005Ho-0.04(Cu0.333Nb0.667),120,392,0,none,none,-,none,conventional,-,850,-,-,1180,conventional,hard,https://pubs.acs.org/doi/10.1021/acs.inorgchem.3c02046,KNN-5Ho-4CN Donor-Acceptor Codoping highly stable
0.95(K0.5Na0.5)NbO3-0.05LiTaO3,292,-,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://pdfs.semanticscholar.org/e124/109810aafe436bef487707458791618968c7.pdf,KNN with LiTaO3 solid solution
0.96K0.5Na0.5NbO3-0.04CaZrO3-0.03ZrO2,360,-,0,none,none,-,none,conventional,-,-,-,-,1080,conventional,soft,https://pdfs.semanticscholar.org/e124/109810aafe436bef487707458791618968c7.pdf,KNN-CaZrO3 co-fired with Ni electrodes
0.96(0.95(K0.52Na0.48NbO3)-0.05LiSbO3)-0.04SrZrO3-0.01CuO-0.03NaNbO3,323,-,0,none,none,-,none,conventional,-,-,0.39,-,-,conventional,soft,https://www.researchgate.net/figure/d33-kp-and-Qm-of-of-KNN-xLN-BA-ceramics_fig2_314977944,KNNLS-SZ-C with NN seeds for templating
0.935(K0.4Na0.6)NbO3-0.02CaZrO3-0.045Bi0.5Na0.5HfO3,320,-,0,none,none,-,none,conventional,-,-,0.40,-,-,conventional,soft,https://www.researchgate.net/figure/d33-kp-and-Qm-of-of-KNN-xLN-BA-ceramics_fig2_314977944,KNN-CZ-BNH phase boundary engineering
0.965(K0.48Na0.52Nb0.96Sb0.04O3)-0.035(Bi0.5Li0.45Ag0.05)(Zr0.98Hf0.02)O3,343,270,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://www.researchgate.net/figure/d33-kp-and-Qm-of-of-KNN-xLN-BA-ceramics_fig2_314977944,R-T phase coexistence optimized KNN
0.96Bi0.5Na0.5TiO3-0.04Ba(Sc0.5Nb0.5)O3,110,266,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://m08.iphy.ac.cn/pdfs/Li-2025-Enhanced_piezoelectric_performance_in_lead-free_piezoceramics.pdf,BSN substituted BNT solid solution
(Bi0.5Na0.5)TiO3-BaTiO3-BiFeO3,132,-,0,none,none,-,none,conventional,-,124,-,-,-,conventional,soft,https://www.mdpi.com/2571-6131/8/2/70,BNT-BT-BF properties peak
(KNa)NbO3-BaZrO3-0.01Al2O3,480,-,0,none,none,-,none,conventional,-,-,0.62,-,-,conventional,soft,https://www.researchgate.net/publication/373601309,KNNS-BNZ with 1 mol percent Al2O3 exceptional d33
0.95(K0.42Na0.58)NbO3-0.05LiSbO3,270,364,0,none,none,-,none,conventional,-,-,0.472,-,-,conventional,soft,https://pubs.acs.org/doi/10.1021/am402548x,KNN-LS MPB engineered high temperature stability
(K0.47Na0.47Li0.06)0.985Bi0.005NbO3,185,455,0,none,none,-,none,conventional,-,10,-,-,-,conventional,soft,https://www.worldscientific.com/doi/pdf/10.1142/S2010135X11000409,Li/Bi co-doped KNN high Curie temperature
0.97Na0.5K0.5NbO3-0.03Bi0.5Na0.5TiO3,195,375,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://www.worldscientific.com/doi/pdf/10.1142/S2010135X11000409,KNN-BNT system properties
0.94K0.5Na0.5NbO3-0.06BaTiO3-0.01CuO,193,314,0,none,none,-,none,conventional,-,30,-,-,-,conventional,soft,https://www.worldscientific.com/doi/pdf/10.1142/S2010135X11000409,CuO doped KNN-BT
0.59BiFeO3-0.33BaTiO3-0.08Sr(Mg0.167Zn0.167Ta0.333Nb0.333)O3,-,-,0,none,none,-,none,conventional,734,-,-,-,-,conventional,hard,https://doi.org/10.1021/acsami.3c18262,ACS AMI 2024 - High-entropy BF-BT-SMZTN hardness=7.2GPa Wrec=2.4J/cm3
0.95(K0.5Na0.5)NbO3-0.05BaHfO3,-,-,0,none,none,-,none,conventional,-,27.2,-,-,1080,conventional,soft,https://qmro.qmul.ac.uk/xmlui/bitstream/handle/123456789/107078/Viola%20Lead-free%20Piezoelectric%20Ceramics%20with%20Ultralow%20Mechanical%20Quality%20Factor%202025%20Published.pdf?sequence=2,KNN-BAH-1080 ultralow Qm
BaTiO3,-,-,26.62,pvdf,-,-,untreated,3d_print,-,-,-,-,-,-,composite,https://doi.org/10.1007/s10854-025-15964-9,J Mater Sci Mater Electron 2025 - PVDF/BTO/MWCNT DIW optimized beta phase
(Ba0.85Ca0.15)(Zr0.1Ti0.9)O3,-,-,5,p_vdf_trfe,-,-,untreated,solvent_cast,-,-,-,18,-,-,composite,https://www.researchgate.net/publication/400674306,IOP 2026 - Dielectric constant=18 for 5wt% BCZT filler
BN,25,-,5,pvdf,platelet,-,untreated,solvent_cast,-,-,-,-,-,-,composite,https://www.researchgate.net/publication/353964955,ResearchGate 2021 - Yb-doped PVDF matrix with BN filler
Zn0.99Fe0.01O,-,115,10,p_vdf_trfe,-,-,untreated,solvent_cast,-,-,-,42,-,-,composite,https://www.researchgate.net/publication/341440067_Enhanced_dielectric_and_piezoelectric_properties_of_Fe-doped_ZnOPVDF-TrFE_composite_films,ResearchGate 2020 - Fe-doped ZnO/PVDF-TrFE polar phase=56%
BaTiO3,-,120,15,pvdf,fiber,150,untreated,electrospinning,55.5,-,-,-,-,-,composite,https://doi.org/10.3390/polym15030531,Polymers 2023 - Electrospun PVDF/BTO Voc=11.4V d33_max=18(20wt%)
0.70Bi1.03FeO3-0.30BaTiO3,251,560,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://doi.org/10.1371/journal.pone.0298811,PLOS ONE 2025 - Pure BF30BT ceramic
0.70Bi1.03FeO3-0.30BaTiO3-0.01Si,209,560,0,none,none,-,none,conventional,-,32.6,0.32,-,-,conventional,soft,https://doi.org/10.1371/journal.pone.0298811,PLOS ONE 2025 - Si-doped BF30BT
0.67Bi1.03FeO3-0.33BaTiO3-0.01Nb,382,473,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://doi.org/10.1016/j.jallcom.2023.168999,J ALLOY COMPD 2023 - Nb-modified quenched ceramics
0.75BiFeO3-0.25BaTiO3,-,607,0,none,none,-,none,conventional,-,403,-,-,-,conventional,hard,https://doi.org/10.1111/jace.17888,J AM CERAM SOC 2021 - BF-BT R-phase rich hard properties
0.70BiFeO3-0.30BaTiO3,301,510,0,none,none,-,none,conventional,-,-,0.33,-,-,conventional,soft,https://doi.org/10.1111/jace.17888,J AM CERAM SOC 2021 - BF-BT soft properties
BiFeO3-BaTiO3-0.06PbTiO3,171,526,0,none,none,-,none,conventional,-,-,-,-,-,conventional,soft,https://doi.org/10.1016/j.ceramint.2020.08.111,CERAM INT 2020 - BFBT-6PT
BiFeO3-BaTiO3-0.003Li2CO3,163,508,0,none,none,-,none,conventional,-,38.33,0.294,-,930,conventional,soft,https://doi.org/10.1016/j.jallcom.2017.11.156,J Alloys Compd 2018 - Li2CO3 doped BF-BT
Ba0.93Ca0.07Ti0.95Zr0.05O3,387,108,0,none,none,-,none,conventional,-,140,0.442,-,1450,conventional,soft,https://www.researchgate.net/publication/251609028,High Piezoelectric d33 Coefficient 2013
(KNa)NbO3-BaCuO-0.035BiNaHfO3,272,333,0,none,none,-,none,conventional,-,-,0.47,-,-,conventional,soft,https://www.researchgate.net/figure/a-piezoelectric-properties-d33-kp-and-Qm-and-bd33-and-relative-density-of_fig2_310541910,KNN-BC-xBNH optimal electrical properties
(KNa)NbO3-0.01KCN,90,290,0,none,none,-,none,conventional,-,1500,0.36,-,-,conventional,hard,https://doi.org/10.3390/s140814530,Sensors 2014 - Acceptor doped KNN
BaTiO3-CaTiO3-0.01Co,150,-,0,none,none,-,none,conventional,-,800,0.31,-,-,conventional,hard,https://doi.org/10.3390/s140814530,Sensors 2014 - Co doped BTO
0.23Pb(In0.5Nb0.5)O3-0.28Pb(Zn0.333Nb0.667)O3-0.13PbZrO3-0.27PbTiO3-0.01Sm2O3,580,249,0,none,none,-,none,conventional,-,-,0.532,-,-,conventional,soft,https://doi.org/10.1080/21870764.2026.2620321,J Adv Ceram 2026 - 1Sm-27PT ceramic
Pb(ZrTi)O3,800,150,0,none,none,-,none,conventional,-,120,-,-,-,conventional,soft,https://www.trstechnologies.com/Portals/0/HK1.pdf,TRS Technologies TRSHK1 HD soft piezoelectric
Pb(ZrTi)O3,225,300,0,none,none,-,none,conventional,-,1000,-,-,-,conventional,hard,https://doi.org/10.3390/s140814530,Sensors 2014 - PZT8 properties
BiScO3-PbTiO3-0.01Mn,360,442,0,none,none,-,none,conventional,-,100,-,-,-,conventional,soft,https://doi.org/10.3390/s140814530,Sensors 2014 - High Tc relaxor
PbZr0.95Ti0.05O3-0.02Nb,68,227,0,none,none,-,none,conventional,-,-,0.18,-,-,conventional,hard,https://www.rsc.org/suppdata/d1/ta/d1ta02290c/d1ta02290c1.pdf,TRS Technologies PZT 95/5
Pb(Mg0.333Nb0.667)O3-PbTiO3,2450,160,0,none,none,-,none,conventional,-,-,0.92,-,-,conventional,soft,http://ndl.ethernet.edu.et/bitstream/123456789/65905/1/16.pdf,TRS-X2C single crystal
0.7Pb(Mg0.333Nb0.667)O3-0.3PbTiO3,1500,130,0,none,none,-,none,conventional,-,-,0.90,-,-,conventional,soft,http://ndl.ethernet.edu.et/bitstream/123456789/65905/1/16.pdf,Ceracomp 70PMN-30PT
(K0.5Na0.5)NbO3-0.01MnO2,120,420,0,none,none,-,none,conventional,4.8,500,0.35,96,1100,conventional,hard,https://doi.org/10.3390/mi15030325,Micromachines 2024 - Mn-doped Hard KNN Qm=500 baseline
K0.5Na0.5NbO3,121,420,0,none,none,-,none,two_step,3.2,75,0.352,95.2,1050,two_step,soft,https://www.researchgate.net/publication/229906451,ResearchGate 2009 - Two-step sintering pure KNN d33=121 pC/N
(K0.44Na0.52Li0.04)(Nb0.84Ta0.10Sb0.06)O3,416,253,0,none,none,-,none,rtgg,3.8,70,0.45,97,1150,rtgg,soft,https://doi.org/10.1038/nature03028,Nature 2004 - LF4T Textured KNLNST d33=416 Tc=253 (Saito seminal work)
(K0.49Na0.49Li0.02)NbO3,280,430,0,none,none,-,none,tgg,3.5,100,-,96,1100,tgg,soft,https://doi.org/10.1021/acsami.6b08199,ACS AMI 2017 - High Tc (430C) TGG Textured KNN-Li(K0.4425Na0.52Li0.0375)
(Nb0.94Sb0.03Ta0.03)O3,313,274,0,none,none,-,none,conventional,3.2,80,0.47,96.5,1120,conventional,soft,https://doi.org/10.1007/s40145-013-0083-8,J. Adv. Ceram. 2013 - Optimal Sintering 1120C d33=313
0.91(K0.45Na0.5Li0.05)NbO3-0.08BaZrO3-0.01(Bi0.5Na0.5)TiO3-0.004MnO2,292,205,0,none,none,-,none,conventional,4.1,150,0.47,98,1020,conventional,hard,https://doi.org/10.1016/j.ceramint.2023.05.121,Ceram. Int. 2023 - Mn-doped KNLN-BZ-BNT low temp sintering
(K0.5Na0.5)0.98Li0.02(Nb0.82Ta0.18)O3-0.01CuO,180,310,0,none,none,-,none,conventional,-,665,-,96.5,1080,conventional,hard,https://doi.org/10.1007/s10853-022-07901-6,J. Mater. Sci. 2022 - CuO-doped LT-KNN Hard Ceramic Qm=665
(K0.41Na0.59)(Nb0.84Sb0.06Ta0.10)O3-0.075CuO,265,325,0,none,none,-,none,two_step,4.2,420,0.50,97.5,1050,two_step,hard,https://www.researchgate.net/publication/337304993,ResearchGate 2019 - Two-step Sintering KNNST-CuO High Qm
0.96(K0.455Na0.535)(Nb0.95Sb0.05)O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,498,-,0,none,none,-,none,conventional,-,-,0.45,95,1085,conventional,soft,https://doi.org/10.3390/app12094444,Appl. Sci. 2022 - Giant d33 in KNNS-BNKZ via Abnormal Grain Growth
K0.5Na0.5NbO3,123,398,0,none,none,-,none,cold_sinter,2.9,-,-,94,300,cold_sinter,soft,https://doi.org/10.1016/j.ceramint.2022.10.106,Ceram. Int. 2022 - Cold Sintered KNN with NaCl Transient Liquid Phase


BaTiO3,300,130,0,none,none,,none,conventional,-,-,0.40,97,1300,conventional,soft,https://doi.org/10.1142/S2010135X21500144,J. Adv. Dielect. 2021 On et al. - BaTiO3 sintered 1300C: d33=300 kp=0.40 rd=97% Tc=130C | On D.V. et al. Influence of sintering behavior on microstructure and properties of BaTiO3. J. Adv. Dielect. 2021 11:2150014
BaTiO3,193,130,0,none,none,,none,sps,-,-,-,97,,sps,soft,https://www.jstage.jst.go.jp/article/jcersj2/118/1382/118_1382_940/_pdf,J. Ceram. Soc. Japan 2010 - BaTiO3 SPS (500nm powder): d33=193 rd>97% reduced sintering temperature vs conventional | Enhancement of piezoelectric constant d33 in BaTiO3 - J. Ceram. Soc. Japan 2010 vol.118 p.940
BaTiO3,32,,80,p_vdf_trfe,spherical,-,untreated,hot_compression,-,-,-,-,,,composite,https://doi.org/10.1007/s10853-012-6362-x,"Springer J. Mater. Sci. 2012 - P(VDF-TrFE)/BaTiO3 compression molded 60vol%(~80wt%): d33=32 pC/N (note: vol% 60 converted to wt%~80 using BaTiO3 density 6.02 g/cm3 vs PVDF-TrFE ~1.87 g/cm3)" | P(VDF-TrFE)/BaTiO3 composites processing route and properties. J. Mater. Sci. 2012 doi:10.1007/s10853-012-6362-x
BaTiO3,20.5,,50,pvdf_hfp,spherical,-,acid,solvent_cast,-,-,-,-,,,composite,https://doi.org/10.1007/s11664-025-12563-6,"Springer J. Electron. Mater. 2025 - BaTiO3-OH/P(VDF-HFP) solvent cast 50wt%: d33=20.5 pC/N hydroxylation (acid) surface treatment boosted beta-phase to 89.67%" | Enhanced Dielectric Ferroelectric and Piezoelectric Properties of BaTiO3/P(VDF-HFP) via Hydroxylated Surface Modification. J. Electron. Mater. 2025 doi:10.1007/s11664-025-12563-6


Ba0.92Ca0.08Ti0.95Zr0.05O3,455,,0,none,none,,none,two_step,-,155,0.35,,-,two_step,soft,https://pmc.ncbi.nlm.nih.gov/articles/PMC9918272/,MDPI Materials 2023 - Ba0.92Ca0.08Ti0.95Zr0.05O3 solid-state two-step sintering (900C/3h + 1280C/6h): d33=455 kp=35% Qm=155. Enhanced Tc>100C confirmed; exact value not stated in snippet — left blank. | Solid State Processing of BCZT Piezoceramics Using Ultra Low Synthesis and Sintering Temperatures. Materials (MDPI) 2023 PMC9918272
Ba0.85Ca0.15Ti0.9Zr0.1O3,529,125,0,none,none,,none,two_step,-,-,-,-,1540,two_step,soft,https://www.sciencedirect.com/science/article/abs/pii/S1369800122004838,Solid State Electron. 2022 - Ba0.85Ca0.15Ti0.9Zr0.1O3 two-step sintering (1540C then cooled to 1400C/4h): d33=529 Tc=125C largest piezoelectric constant in cooling-rate study. kp not reported for this specific condition. | Cooling rate-dependent microstructure and electrical properties of BCZT ceramics. Solid State Electronics 2022 doi:10.1016/j.sse.2022.108366 (DOI format inferred; ScienceDirect pii S1369800122004838 confirmed)
0.5(Ba0.7Ca0.3)TiO3-0.5Ba(Zr0.2Ti0.8)O3,78,,10,pvdf,spherical,,dopamine,solvent_cast,-,-,-,-,,,composite,https://arxiv.org/abs/2102.08608,arXiv 2021 - 0.5BCT-0.5BCZT/PVDF nanocomposite with dopamine surface modification 10wt% filler: d33=78 pC/N Vout=0.84V power density=3.46 μW/cm³. Particle morphology inferred as spherical for sol-gel nanoparticles (not explicitly stated). Particle size not reported in snippet. | Performance of dopamine modified 0.5(Ba0.7Ca0.3)TiO3-0.5Ba(Zr0.2Ti0.8)O3 filler in PVDF nanocomposite as flexible energy storage and harvester. arXiv 2021 arXiv:2102.08608
(K0.475Na0.475Ho0.05)(Nb0.987Cu0.013)O3,120,392,0,none,none,,none,conventional,-,850,-,-,-,conventional,hard,https://doi.org/10.1021/acs.inorgchem.3c02046,Inorg. Chem. 2023 Wu et al. - KNN-5Ho-4CN hard ceramic: d33=120 Qm=850 Tc=392 donor(Ho)+acceptor(Cu) codoping | Wu Y. et al. KNN-Based Lead-Free Piezoelectric Ceramics with High Qm and Enhanced d33 via Donor-Acceptor Codoping. Inorg. Chem. 2023 62(37):15094-15103 | Ho (holmium) | "Formula derived from paper notation KNN-5Ho-4CN: Ho3+ on A-site (5mol%) and Cu(1/3)Nb(2/3)O3 on B-site (4mol%). Check element registry for Ho support before merging."


0.955(K0.5Na0.5)(Nb0.935Sb0.065)O3-0.045(Bi0.5Na0.5)HfO3,-,-,0,none,none,,none,conventional,-,-,0.56,-,1090,conventional,soft,https://doi.org/10.3390/mi15030325,"Micromachines 2024 review - 0.955KNNS-0.045BNH R-O-T multistructure: d33=540 kp=0.56 Tc not confirmed in snippet" | Lee G.-S. et al. Micromachines 2024 15(3):325 (cites original BNH composition paper) | Hf (hafnium) | "Tc for this composition not directly confirmed from search snippet - do not use tc field until verified from original paper. d33=540 kp=0.56 are from the Micromachines 2024 review table."
0.95(K0.5Na0.5)NbO3-0.02(Bi0.5Na0.5)ZrO3-0.03CaHfO3,332,321,0,none,none,,none,conventional,-,-,0.457,-,-,conventional,soft,https://doi.org/10.1007/s10854-026-16793-0,Springer JMSE 2026 - KNN-BNZ-CaHfO3: d33=332 kp=45.7% Tc=321C simultaneous Ca2+ and Hf4+ lattice softening | KNN-BNZ modified by CaHfO3 for balanced piezoelectric. J. Mater. Sci. Mater. Electron. 2026 doi:10.1007/s10854-026-16793-0 | Hf (hafnium) | "CaHfO3 dopant introduces Hf into the lattice. Check if Hf is in element registry. Sintering temp not given in abstract - mark as - until confirmed."
