Component,d33 (pC/N)
0.96(K0.5Na0.5)0.95Li0.05Nb0.95Sb0.05O3-0.04BaZrO3,320.0
0.96(K0.5Na0.5)0.95Li0.05Nb0.94Sb0.06O3-0.04BaZrO3,370.0
0.96(K0.5Na0.5)0.95Li0.05Nb0.92Sb0.08O3-0.04BaZrO3,320.0
0.96(K0.5Na0.5)0.95Li0.05Nb0.91Sb0.09O3-0.04BaZrO3,159.0
0.94(K0.34Na0.6Ba0.06Nb0.94Zr0.06)O3-0.06LiSbO3,344.0
0.958K0.5Na0.5Nb0.975Sb0.025O3–0.035Bi0.5Na0.5ZrO3–0.007BiFeO3,511.0
0.97K0.5Na0.5Nb0.96Sb0.04O3-0.01SrZrO3-0.03Bi0.5Na0.5HfO3,470.0
0.96(K0.48Na0.52)0.95Li0.05Nb0.93Sb0.07O3-0.04BaZrO3 ,408.0
0.96(K0.48Na0.52)0.95Li0.05Nb0.94Sb0.06O3-0.04Ba0.94Ca0.06ZrO3 ,347.0
0.92(K0.445Na0.50Li0.055)NbO3–0.08BaZrO3 ,317.0
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.04(Bi0.5Na0.42Li0.08)0.9Sr0.1ZrO3,416.0
0.964K0.4Na0.6Nb0.955Sb0.045O3–0.006BiFeO3–0.03Bi0.5Na0.5ZrO3 ,550.0
 0.992(K0.46Na0.54)0.965Li0.035Nb0.975Sb0.025O3-0.008BiScO3,325.0
0.98(Na0.5K0.5)NbO3-0.02BiScO3,210.0
0.992(0.95K0.5Na0.5NbO3-0.05LiSbO3)-0.008BiScO3,305.0
0.985(K0.48Na0.52)(Nb0.98Sb0.02)O3-0.015BiScO3–MnCO3,265.0
0.995(0.95K0.5Na0.5NbO3-0.05LiSbO3)-0.005BiScO3,280.0
0.99(Na0.485K0.485Li0.03)NbO3-0.01BiScO3,225.0
(K0.4675Na0.4675Li0.065)NbO3,250.0
0.92(Na0.5K0.5)NbO3–0.06BaZrO3–0.02(Bi0.5Li0.5)TiO3,321.0
(Na0.5K0.5)0.975Li0.025Nb0.76Sb0.06Ta0.18O3,352.0
0.92(Na0.5K0.5)NbO3–0.02(Bi0.5Li0.5)TiO3–0.06BaZrO3 ,348.0
(K0.5Na0.5)NbO3,80.0
0.94(K0.5Na0.5)NbO3–0.06LiNbO3,235.0
[(K0.5Na0.5)0.97Bi0.01]NbO3,164.0
0.98(K0.5Na0.5)NbO3–0.02BiScO3,210.0
0.985(K0.5Na0.5)NbO3–0.0175BiScO3,253.0
(K0.48Na0.52)0.95Li0.05Sb0.01Nb0.99O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,87.0
(K0.48Na0.52)0.95Li0.05Sb0.03Nb0.97O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,163.0
(K0.48Na0.52)0.95Li0.05Sb0.05Nb0.95O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,217.0
(K0.48Na0.52)0.95Li0.05Sb0.06Nb0.94O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,267.0
(K0.48Na0.52)0.95Li0.05Sb0.07Nb0.93O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,225.0
(K0.48Na0.52)0.95Li0.05Sb0.08Nb0.92O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,220.0
(K0.48Na0.52)0.95Li0.05Sb0.10Nb0.90O3- 0.05Ca0.5(Bi0.5Na0.5)0.5ZrO3,180.0
K0.47Na0.47Li0.06NbO3,235.0
0.94K0.49Na0.51NbO3−0.06LiNbO3,246.0
(K0.5Na0.5)0.935Li0.065NbO3,188.0
(K0.5Na0.5)0.94Li0.06NbO3,235.0
0.94K0.5Na0.5NbO3−0.06LiNbO3,215.0
0.93K0.5Na0.5NbO3−0.07LiNbO3,240.0
0.948(K0.5Na0.5)NbO3− 0.052LiSbO3,265.0
0.95(K0.48Na0.52)NbO3−0.05LiSbO3,262.0
0.94(K0.5Na0.5)NbO3−0.06LiSbO3,212.0
0.95K0.49Na0.51NbO3−0.05LiSbO3,256.0
0.95(K0.40Na0.60)NbO3−0.05LiSbO3,280.0
0.95(K0.42Na0.58)NbO3−0.05LiSbO3,270.0
(Na0.5K0.5)0.952(LiSb)0.048Nb0.952O3,265.0
(Na0.5K0.5)0.950(LiSb)0.050Nb0.950O3,283.0
(Na0.5K0.5)0.948(LiSb)0.052Nb0.948O3,286.0
(Na0.5K0.5)0.946(LiSb)0.054Nb0.946O3,269.0
(Na0.5K0.5)0.944(LiSb)0.056Nb0.944O3,272.0
K0.5Na0.5NbO3,97.0
(K0.44Na0.52)(Nb0.86Ta0.10)O3+0.04LiSbO3,416.0
0.94(K0.5Na0.5)NbO3+0.06LiNbO3,235.0
0.95(K0.5Na0.5)NbO3+0.05LiTaO3,200.0
(K0.5Na0.5)0.935Li0.065NbO3,250.0
(K0.5Na0.5)0.96Li0.04Nb0.9Ta0.1O3,160.0
0.95K0.5Na0.5NbO3−0.05LiSbO3,215.0
(Na0.474K0.474Li0.052)(Nb0.948Sb0.052)O3,242.0
(Na0.5K0.5)0.945Li0.055Nb0.96Sb0.04O3,240.0
0.93(K0.5Na0.5)NbO3−0.07LiTaO3,200.0
0.90(Na0.5K0.5)NbO3–0.07BaZrO3–0.03(Bi0.5Li0.5)TiO3,263.0
[(K0.5Na0.5)0.97Li0.03](Nb0.8Ta0.2)O3,234.0
(K0.55Na0.45)0.965Li0.035Nb0.80Ta0.20O3 ,262.0
0.90(Na0.5K0.5)NbO3–0.08BaZrO3–0.02(Bi0.5Li0.5)TiO3,230.0
[(Na0.535K0.480)0.942Li0.058](Nb0.94Ta0.06)O3,232.0
(K0.5Na0.5)0.96Li0.04(Nb0.775Ta0.225)O3,208.0
Li2O−0.95(Na0.5K0.5)NbO3−0.05LiTaO3,250.0
0.90(Na0.5K0.5)NbO3–0.01BaZrO3–0.09(Bi0.5Li0.5)TiO3,57.0
0.90(Na0.5K0.5)NbO3–0.02BaZrO3–0.08(Bi0.5Li0.5)TiO3,92.0
0.90(Na0.5K0.5)NbO3–0.03BaZrO3–0.07(Bi0.5Li0.5)TiO3,116.0
0.90(Na0.5K0.5)NbO3–0.04BaZrO3–0.06(Bi0.5Li0.5)TiO3,136.0
0.90(Na0.5K0.5)NbO3–0.06BaZrO3–0.04(Bi0.5Li0.5)TiO3,215.0
(Na0.52K0.4375)(Nb0.9075Sb0.05)O3−0.0425LiTaO3,321.0
(K0.4425Na0.52Li0.0375)(Nb0.8925Sb0.07Ta0.0375)O3,304.0
Li0.04(Na0.54K0.46)0.96Nb0.81Ta0.15Sb0.04O3,293.0
0.90(Na0.5K0.5)NbO3–0.09BaZrO3–0.01(Bi0.5Li0.5)TiO3,83.0
0.96(K0.48Na0.52)(Nb0.95Ta0.05)O3−0.04LiSbO3,250.0
0.97(K0.5Na0.5)NbO3−0.03(Bi0.5Na0.5)TiO3,195.0
0.975(K0.5Na0.5)NbO3−0.025(Bi0.5Na0.5)TiO3,256.0
0.98(K0.5Na0.5)NbO3−0.02(Bi0.5K0.5)TiO3,251.0
0.98(K0.5Na0.5)NbO3−0.02Li0.5Bi0.5TiO3,172.0
0.94(Na0.5K0.5)NbO3−0.06BaTiO3,150.0
0.95(Na0.5K0.5)NbO3−0.05SrTiO3,195.0
0.96(Na0.5K0.5)NbO3−0.04(Bi0.5Na0.5)0.94Ba0.06TiO3,256.0
(K0.5Na0.5)NbO3−Ba(Zr0.05Ti0.95)O3−MnO2,234.0
K0.5Na0.5NbO3−CaTi0.9Zr0.1O3+MnO2,203.0
0.95(Na0.5K0.5)NbO3−0.05CaTiO3,241.0
0.97(Na0.5K0.5)NbO3−0.03(Ba0.95Sr0.05)TiO3,136.0
0.9825K0.5Na0.5NbO3−0.0175BiScO3,253.0
0.99(Na0.5K0.5)NbO3−0.01BiAlO3,202.0
0.996(0.95Na0.5K0.5NbO3−0.05LiSbO3)−0.004BiFeO3,260.0
0.95(0.995Na0.5K0.5NbO3−0.005BiFeO3)−0.05LiSbO3,257.0
0.996[(K0.458Na0.542)0.96Li0.04](Nb0.85Ta0.15)O3−0.004BiFeO3,261.0
0.995Li0.03(Na0.53K0.48)0.97Nb0.8Ta0.2O3−0.005BiFeO3,238.0
0.995(0.95K0.5Na0.5NbO3−0.05LiSbO3)−0.005BiScO3,280.0
0.992(0.95K0.5Na0.5NbO3−0.05LiSbO3)−0.008BiScO3,305.0
0.99(Na0.485K0.485Li0.03)NbO3−0.01BiScO3,225.0
0.96(0.99K0.5Na0.5NbO3−0.01Bi0.5Na0.5TiO3)−0.04LiSbO3,250.0
(K0.42Na0.52Li0.04Ag0.02)(Nb0.91Ta0.05Sb0.04)O3,263.0
0.998(0.948K0.5Na0.5NbO3−0.052LiSbO3)−0.002BiAlO3,233.0
(K0.5Na0.5)0.92Li0.04Sr0.02Nb0.98Sb0.02O3,142.0
0.98[(K0.4725Na0.4725Li0.055)]0.98Ag0.02(Nb0.98Ta0.02)O3,237.0
(K0.5Na0.5)0.82Ag0.18NbO3,186.0
0.955K0.35Na0.65NbO3–0.02BaZrO3–0.025Bi0.5Na0.5ZrO3 ,345.0
(K0.48Na0.48Ca0.02)(Nb0.85Ta0.15O3),155.0
(Na0.52K0.48)(Nb0.91Sb0.09)O3,230.0
0.98(Na0.5K0.5)NbO3−0.02BiScO3,210.0
 0.96K0.5Na0.5NbO3-0.04CaZrO3,154.0
(Na0.52K0.40)(Nb0.84Sb0.08)O3−0.055LiTaO3−0.025BaZrO3,365.0
0.94(K0.34Na0.6Ba0.06Nb0.94Zr0.06)O3–0.06LiSbO3 ,344.0
0.96K0.46Na0.54Nb0.95Sb0.05O3−0.04Bi0.5(Na0.82K0.18)0.5ZrO3,465.0
[(Na0.535K0.480)0.966Li0.058](Nb0.90Ta0.10)O3,268.0
0.058LiNbO3−0.942(Na0.535K0.480)NbO3,314.0
0.96K0.48Na0.52NbO3−0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3−0.01B0.5Na0.5TiO3,285.0
0.992(K0.46Na0.54)0.965Li0.035Nb0.975Sb0.025O3−0.008BiScO3,325.0
(Na0.535K0.485)0.926Li0.074(Nb0.942Ta0.058)O3,276.0
0.92(Na0.535K0.48)NbO3−0.08LiNbO3,280.0
0.95(K0.5Na0.5)NbO3–0.05(Bi0.5Na0.5)ZrO3–0.1ZnO,320.0
(Na0.50K0.47Li0.03)(Nb0.8Ta0.2)O3 + MnO2 + Li2CO3,310.0
(K0.5Na0.5)(Nb0.97Sb0.03)O3,208.0
(K0.463Na0.537)0.946Li0.054NbO3,254.0
(Na0.535K0.485)0.95Li0.05(Nb0.8Ta0.2)O3,243.0
Li0.02(Na0.55K0.45)0.98(Nb0.77Ta0.18Sb0.05)O3,256.0
0.92(K0.445Na0.50Li0.055)NbO3–0.08BaZrO3,317.0
0.955K0.48Na0.52NbO3–0.01B0.5Na0.5TiO3-0.035Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3,310.0
0.98(K0.5Na0.5)NbO3–0.02(Bi0.5K0.5)TiO3 ,251.0
0.996(0.95Na0.5K0.5NbO3–0.05LiSbO3)–0.004BiFeO3,260.0
0.99(Na0.5K0.5)NbO3-0.01BiAlO3,202.0
0.996[(K0.458Na0.542)0.96Li0.04](Nb0.85Ta0.15)O3–0.004BiFeO3,261.0
0.995Li0.03(Na0.53K0.48)0.97Nb0.8Ta0.2O3–0.005BiFeO3,238.0
0.98(Na0.5K0.5)NbO3-0.02BaTiO3,104.0
(K0.44Na0.52Li0.04)(Nb0.86Ta0.1Sb0.04)O3-0.025MnO2,176.0
0.96K0.48Na0.52NbO3–0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3–0.01B0.5Na0.5TiO3,285.0
0.994(K0.44Na0.52Li0.04)(Nb0.84Ta0.1Sb0.06)O3 − 0.006BiFeO3 ,246.0
0.96(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3–0.04CaZrO3 ,420.0
0.96(K0.48Na0.49Li0.03)NbO3-0.04Bi0.5Na0.5ZrO3,252.0
0.96K0.48Na0.52Nb0.96Sb0.04O3-0.04Bi0.44Fe0.06Ag0.03Na0.47ZrO3,464.0
0.96K0.48Na0.52Nb0.95Sb0.05O3–0.04(Bi0.5Ag0.5)(Zr0.9Hf0.1)O3 ,510.0
Li0.05(Na0.515K0.485)0.95Nb0.8Ta0.2O3-BiFeO3,200.0
0.95(Na0.49K0.5)NbO2.995-0.05SrTiO3,220.0
0.76K0.5Na0.5NbO3–0.24AgNbO3,162.0
0.82K0.5Na0.5NbO3–0.18AgNbO3,186.0
 Li0.02(Na0.53K0.48)0.98Nb0.8Ta0.2O3-0.05AgSbO3,265.0
0.97K0.48Na0.52Nb0.96Sb0.04O3-0.03Bi0.5Na0.5ZrO3 ,278.0
K0.5Na0.5Nb0.95Ta0.05O3,89.0
0.955(K0.42Na0.58)(Nb0.96Sb0.04)O3–0.045(Bi0.5K0.5)0.90Zn0.10ZrO3 ,416.0
0.92(Na0.5K0.5)NbO3-0.02(Bi0.5Li0.5)TiO3-0.06BaZrO3,350.0
0.96K0.48Na0.52NbO3-0.04Bi0.5(Na0.925Li0.075)0.5ZrO3,242.0
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3−0.04Bi0.5(Na0.82K0.18)0.5ZrO3,490.0
0.96(K0.48Na0.52)(Nb0.97Sb0.03)O3−0.04Bi0.5(Na0.82K0.18)0.5ZrO3,440.0
0.92(Na0.51K0.46Li0.03)NbO3–0.02Bi0.5K0.5TiO3–0.06BaZrO3,253.0
 0.948(K0.5Na0.5)NbO3–0.052LiSbO3,265.0
0.94K0.49Na0.51NbO3-0.06LiNbO3,246.0
0.935(K0.4Na0.6)NbO3–0.02CaZrO3–0.045Bi0.5Na0.5HfO3,320.0
K0.5Na0.5NbO3-0.003Pr,108.4
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035（Bi0.75Pr0.25）0.5Na0.5HfO3,480.0
0.9575(K0.48Na0.52)(Nb0.95Sb0.05)O3-0.0425Bi0.5Ag0.5ZrO3,490.0
0.958K0.5Na0.5Nb0.975Sb0.25O3–0.035Bi0.5Na0.5ZrO3–0.007BiFeO3,511.0
0.96(K0.48Na0.52) (Nb0.955Sb0.045)O3-0.04(Bi0.5Ag0.5)ZrO3,555.0
0.91(K0.48Na0.52)NbO3-0.04(Bi0.5Na0.5)ZrO3-0.05AgSbO3,500.0
0.96(Na0.60K0.40)(Nb0.955Sb0.045)O3−0.04(Bi0.5Na0.5)ZrO3,450.0
0.96(Na0.60K0.40)(Nb0.955Sb0.045)O3−0.04(Bi0.5Na0.5)0.95Ba0.05ZrO3,500.0
0.96(Na0.60K0.40)(Nb0.955Sb0.045)O3−0.04(Bi0.5Na0.5)0.90Ba0.1ZrO3,505.0
0.944K0.48Na0.52Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3-0.016AgSbO3-0.004Fe2O3,650.0
0.965(K0.48Na0.52)(Nb0.95Sb0.05)O3–0.035Bi0.5(Na0.82K0.18)0.5HfO3,525.0
0.95K0.6Na0.4Nb0.965Sb0.035O3-0.02BaZrO3-0.03Bi0.5K0.5HfO3,570.0
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3−0.04Bi0.5(Na0.82K0.18)0.5ZrO3,490.0
0.964K0.4Na0.6Nb0.955Sb0.045O3−0.006BiFeO3−0.03Bi0.5Na0.5ZrO3,550.0
0.97(K0.48Na0.52)(Nb0.96Sb0.04)O3-0.03(Bi0.5K0.5)0.7Ca0.3ZrO3,430.0
